,Date,Close,Open,High,Low
0,2022-01-03,244.0,239.5,245.0,235.5
1,2022-01-04,251.0,242.0,251.0,240.0
2,2022-01-05,276.0,276.0,276.0,267.5
3,2022-01-06,258.0,270.5,272.0,257.0
4,2022-01-07,244.0,262.5,263.0,244.0
5,2022-01-10,247.5,241.0,248.0,239.0
6,2022-01-11,237.5,244.0,244.0,236.0
7,2022-01-12,234.0,241.5,241.5,232.5
8,2022-01-13,230.5,234.0,236.0,230.0
9,2022-01-14,229.0,229.0,232.5,227.0
10,2022-01-17,235.0,231.0,235.0,229.0
11,2022-01-18,232.0,232.5,237.0,231.0
12,2022-01-19,226.0,229.5,231.5,225.5
13,2022-01-20,229.0,227.5,231.0,225.5
14,2022-01-21,225.0,225.5,227.5,222.0
15,2022-01-24,222.5,222.0,224.0,215.0
16,2022-01-25,212.5,220.0,220.5,212.0
17,2022-01-26,211.0,211.5,216.0,211.0
18,2022-02-07,217.0,217.0,217.5,212.5
19,2022-02-08,220.5,217.5,222.0,216.5
20,2022-02-09,227.5,221.0,228.5,219.0
21,2022-02-10,226.5,226.0,228.5,222.0
22,2022-02-11,222.5,223.0,231.0,221.5
23,2022-02-14,213.5,220.0,220.5,212.5
24,2022-02-15,211.5,215.0,218.0,211.5
25,2022-02-16,216.5,215.5,218.0,214.0
26,2022-02-17,212.5,216.0,217.0,212.0
27,2022-02-18,212.0,210.5,215.0,210.0
28,2022-02-21,210.5,212.0,214.5,210.5
29,2022-02-22,202.0,210.5,210.5,197.5
30,2022-02-23,202.5,204.0,205.5,201.0
31,2022-02-24,196.5,201.0,201.5,194.0
32,2022-02-25,202.0,200.0,204.5,199.0
33,2022-03-01,208.0,204.0,208.5,203.0
34,2022-03-02,207.0,206.0,208.0,204.5
35,2022-03-03,206.5,209.5,210.5,206.0
36,2022-03-04,203.0,205.0,205.0,203.0
37,2022-03-07,192.5,199.0,199.0,192.5
38,2022-03-08,189.0,189.0,194.5,188.0
39,2022-03-09,191.0,193.0,194.0,188.5
40,2022-03-10,192.0,195.0,200.0,191.0
41,2022-03-11,192.5,194.0,197.0,192.0
42,2022-03-14,192.5,193.0,195.5,191.5
43,2022-03-15,189.5,193.0,193.0,188.0
44,2022-03-16,190.0,192.0,193.0,188.0
45,2022-03-17,197.0,195.0,197.5,194.0
46,2022-03-18,199.0,197.0,199.0,194.5
47,2022-03-21,201.5,202.0,202.5,200.0
48,2022-03-22,202.5,203.0,206.0,201.5
49,2022-03-23,204.5,206.0,207.5,203.5
50,2022-03-24,204.5,204.5,206.0,202.5
51,2022-03-25,203.0,207.0,207.0,202.5
52,2022-03-28,200.5,200.0,202.0,195.5
53,2022-03-29,199.5,202.5,202.5,199.5
54,2022-03-30,202.5,201.5,203.5,199.5
55,2022-03-31,202.0,202.5,202.5,200.5
56,2022-04-01,203.0,199.0,203.0,197.5
57,2022-04-06,202.0,203.5,203.5,200.0
58,2022-04-07,199.5,200.5,203.0,198.5
59,2022-04-08,202.0,200.5,202.0,198.5
60,2022-04-11,195.5,202.0,202.0,195.0
61,2022-04-12,199.0,196.0,203.0,195.5
62,2022-04-13,200.5,201.5,202.5,199.5
63,2022-04-14,202.5,201.0,205.0,200.5
64,2022-04-15,200.0,202.5,204.5,199.0
65,2022-04-18,204.5,200.5,206.0,197.5
66,2022-04-19,209.0,208.0,213.0,207.0
67,2022-04-20,219.0,212.5,219.0,211.0
68,2022-04-21,217.0,222.5,223.5,217.0
69,2022-04-22,215.5,216.0,219.5,213.5
70,2022-04-25,198.5,210.5,211.0,198.0
71,2022-04-26,203.0,200.5,203.0,197.5
72,2022-04-27,199.5,197.5,201.5,194.0
73,2022-04-28,199.0,200.0,201.0,197.0
74,2022-04-29,198.0,201.5,202.0,198.0
75,2022-05-03,197.5,199.0,200.0,196.5
76,2022-05-04,198.5,200.0,201.5,198.0
77,2022-05-05,199.5,202.0,202.5,198.5
78,2022-05-06,196.5,195.5,197.0,194.5
79,2022-05-09,190.0,195.0,195.5,190.0
80,2022-05-10,196.0,187.5,196.5,185.5
81,2022-05-11,192.5,196.0,196.0,192.5
82,2022-05-12,192.5,192.5,199.0,192.0
83,2022-05-13,195.0,195.0,196.5,194.0
84,2022-05-16,194.0,199.5,202.0,194.0
85,2022-05-17,199.5,195.5,200.0,195.0
86,2022-05-18,208.5,207.0,212.5,203.0
87,2022-05-19,204.5,202.0,206.0,200.5
88,2022-05-20,203.5,206.0,207.0,203.0
89,2022-05-23,204.0,205.0,206.0,204.0
90,2022-05-24,201.5,205.0,205.5,201.5
91,2022-05-25,208.0,204.0,208.0,201.5
92,2022-05-26,204.0,207.0,208.0,203.0
93,2022-05-27,207.0,205.0,207.5,205.0
94,2022-05-30,207.5,210.0,210.0,206.0
95,2022-05-31,208.5,208.0,211.0,208.0
96,2022-06-01,208.5,209.5,211.0,208.0
97,2022-06-02,210.0,208.5,210.0,208.0
98,2022-06-06,215.5,213.5,218.5,213.0
99,2022-06-07,215.0,217.0,217.0,214.0
100,2022-06-08,216.5,217.0,222.0,216.0
101,2022-06-09,222.5,216.0,223.0,215.5
102,2022-06-10,227.0,221.0,228.0,219.0
103,2022-06-13,215.5,221.5,222.0,213.5
104,2022-06-14,212.0,213.0,214.0,208.0
105,2022-06-15,208.5,212.5,213.5,207.5
106,2022-06-16,204.0,210.5,212.5,203.5
107,2022-06-17,200.5,201.0,202.0,199.5
108,2022-06-20,196.5,200.5,203.0,196.0
109,2022-06-21,202.0,198.5,202.0,197.5
110,2022-06-22,195.5,202.0,202.0,194.5
111,2022-06-23,199.5,198.0,203.5,198.0
112,2022-06-24,203.0,202.0,209.0,202.0
113,2022-06-27,212.0,206.0,214.5,206.0
114,2022-06-28,211.0,211.0,214.5,210.0
115,2022-06-29,216.0,209.0,221.0,208.0
116,2022-06-30,214.0,219.5,224.0,213.5
117,2022-07-01,203.5,215.0,217.0,201.0
118,2022-07-04,203.5,205.0,207.0,200.5
119,2022-07-05,211.0,207.5,211.0,202.5
120,2022-07-06,212.5,210.0,215.0,208.0
121,2022-07-07,203.5,213.0,214.5,203.5
122,2022-07-08,201.5,205.5,206.0,197.0
123,2022-07-11,206.5,202.5,208.5,201.0
124,2022-07-12,202.0,207.0,208.0,199.0
125,2022-07-13,216.5,205.0,218.5,204.0
126,2022-07-14,222.5,214.0,223.0,213.0
127,2022-07-15,222.0,224.5,226.0,220.0
128,2022-07-18,222.0,222.5,225.5,221.5
129,2022-07-19,223.5,223.0,226.5,220.5
130,2022-07-20,225.0,227.0,228.0,222.5
131,2022-07-21,222.0,226.5,226.5,220.0
132,2022-07-22,223.5,223.0,227.5,222.0
133,2022-07-25,222.5,222.5,225.5,222.0
134,2022-07-26,217.5,223.5,224.0,217.0
135,2022-07-27,221.0,218.5,222.0,218.0
136,2022-07-28,218.5,222.5,223.0,218.5
137,2022-07-29,215.0,214.0,216.5,213.0
138,2022-08-01,216.5,216.0,219.0,212.0
139,2022-08-02,212.5,214.5,214.5,211.0
140,2022-08-03,212.5,211.5,214.0,210.0
141,2022-08-04,221.0,213.0,221.0,211.5
142,2022-08-05,232.0,222.0,234.0,222.0
143,2022-08-08,234.5,233.5,235.0,226.0
144,2022-08-09,235.0,231.0,236.5,228.5
145,2022-08-10,238.0,232.0,239.5,231.5
146,2022-08-11,242.5,248.0,250.0,237.5
147,2022-08-12,230.5,244.0,245.0,230.5
148,2022-08-15,228.5,229.0,232.5,228.0
149,2022-08-16,230.5,229.5,233.5,229.5
150,2022-08-17,228.0,229.5,231.0,226.5
151,2022-08-18,230.0,229.5,231.0,228.0
152,2022-08-19,228.0,231.5,231.5,227.5
153,2022-08-22,229.0,228.0,230.0,226.0
154,2022-08-23,227.0,228.5,231.5,226.0
155,2022-08-24,232.5,228.0,234.0,228.0
156,2022-08-25,232.5,234.5,235.0,231.5
157,2022-08-26,229.0,234.0,234.0,228.5
158,2022-08-29,215.0,220.5,222.5,213.5
159,2022-08-30,218.0,214.0,219.0,212.5
160,2022-08-31,221.0,216.0,221.0,216.0
161,2022-09-01,218.5,219.0,221.0,218.0
162,2022-09-02,217.5,219.5,221.0,217.0
163,2022-09-05,212.0,219.0,219.0,211.5
164,2022-09-06,213.5,213.5,215.0,211.5
165,2022-09-07,196.0,208.0,209.0,194.0
166,2022-09-08,202.5,198.0,202.5,196.0
167,2022-09-12,210.0,208.0,212.0,206.5
168,2022-09-13,210.0,211.0,214.0,207.0
169,2022-09-14,210.0,203.0,210.0,202.5
170,2022-09-15,206.0,210.5,211.5,206.0
171,2022-09-16,203.5,206.5,207.0,202.0
172,2022-09-19,203.0,205.0,205.0,202.0
173,2022-09-20,206.0,205.0,206.5,204.0
174,2022-09-21,202.5,206.0,206.0,201.0
175,2022-09-22,203.5,200.0,205.0,198.5
176,2022-09-23,201.5,204.5,206.0,200.5
177,2022-09-26,192.0,200.5,200.5,190.5
178,2022-09-27,194.0,194.0,194.0,189.5
179,2022-09-28,185.5,197.0,197.0,185.5
180,2022-09-29,189.5,189.0,191.5,187.5
181,2022-09-30,190.5,185.0,191.0,183.0
182,2022-10-03,189.0,188.0,192.5,187.5
183,2022-10-04,196.0,193.0,196.0,192.0
184,2022-10-05,194.0,199.0,199.5,194.0
185,2022-10-06,195.5,196.5,196.5,194.0
186,2022-10-07,195.5,199.5,203.5,195.5
187,2022-10-11,188.5,193.0,193.0,188.0
188,2022-10-12,191.0,190.0,194.0,187.0
189,2022-10-13,179.0,191.0,192.0,179.0
190,2022-10-14,187.5,184.5,189.0,184.5
191,2022-10-17,186.5,184.0,186.5,181.0
192,2022-10-18,189.0,189.5,190.5,186.0
193,2022-10-19,186.5,190.0,190.0,186.5
194,2022-10-20,192.0,185.5,192.0,182.0
195,2022-10-21,184.0,192.0,192.5,184.0
196,2022-10-24,186.5,187.5,190.0,184.0
197,2022-10-25,183.0,186.5,187.0,182.0
198,2022-10-26,182.0,185.0,185.0,182.0
199,2022-10-27,185.5,183.0,187.0,183.0
200,2022-10-28,181.0,185.0,185.5,179.5
